唯一編碼,物業地址,全幢or大手,地盤面積,成交價,成交價(億港元),現樓面面積,現樓面呎價,可建樓面面積,重建呎價,地區,分類,入伙日期,照片,房間數目及每間售價,賣家,買家,資料來源,新聞連結,資料日期,備註,Date,地區_18區,數據年份,longitude_lands,latitude_lands,easting_lands,northing_lands
2022H007,六合街19號貝爾特酒店全幢（19 Luk Hop Street）,全幢,"23,800平方呎",20億港元,20,"285,000平方呎","7,018港元/平方呎",,,新蒲崗,酒店,27/11/2012,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022H007.jpg,"房間數目:695
每間售價: $2,877,698",新世界,宏安地產(35%) 、外資基金安祖高頓(65%),市場消息,https://hk.finance.yahoo.com/news/%E5%AE%8F%E5%AE%89%E5%9C%B0%E7%94%A2-01243-hk-%E5%A4%A5%E6%8A%95%E8%B3%87%E5%85%AC%E5%8F%B8ag%E4%BB%A520%E5%84%84%E5%85%83%E5%90%91%E6%96%B0%E4%B8%96%E7%95%8C-00017-020842046.html,2022-12-29,,29/12/2022,黃大仙區,2022,114.1997,22.3373,838618.8,822024.7
2022S008,飛鳳街31-41號正鳳樓2幢舊樓全幢（31-41 Fei Fung Street）,全幢,"3,900平方呎",2.57億港元,2.57,,,"9,539平方呎","26,942港元/平方呎",黃大仙,地盤（包括強拍）,,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2022S008.jpg,,,頂邦有限公司,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/739203/%E5%AE%8F%E5%AE%892-57%E5%84%84%E7%B5%B1%E4%B8%80%E9%BB%83%E5%A4%A7%E4%BB%99%E8%88%8A%E6%A8%93%E6%A5%AD%E6%AC%8A-%E9%80%A3%E5%91%A8%E9%82%8A%E5%9C%B0%E7%9B%A4%E9%87%8D%E5%BB%BA250%E4%BC%99,2022-02-23,強拍,23/2/2022,黃大仙區,2022,114.1964,22.3436,838284.4,822720.1
2021I024,六合街3號大有大廈全幢（3 Luk Hop Street）,全幢,"5,700平方呎",3.45億港元,3.45,"30,826平方呎","11,192港元/平方呎","82,000平方呎","4,207港元/平方呎",新蒲崗,工業,15/1/1965,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2021I024.jpg,,譚啓昌、伍碧英、譚紀綸,資深投資者林子峰,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/688388/%E6%96%A53-45%E5%84%84%E8%B3%BC%E6%96%B0%E8%92%B2%E5%B4%97%E5%85%A8%E5%B9%A2%E5%B7%A5%E5%BB%88-%E6%9E%97%E5%AD%90%E5%B3%B0-%E6%94%BF%E7%AD%96%E5%B0%8D%E5%B7%A5%E5%BB%88%E6%9C%89%E6%94%AF%E6%8C%81,2021-10-13,,13/10/2021,黃大仙區,2021,114.1989,22.3379,838533.6,822087.8
2020M006,沙浦道83號御‧豪門地下2號舖，1樓及2樓（83 Sa Po Road）,大手,,4.57億港元,4.57,"33,775平方呎","13,531港元/平方呎",,,九龍城,商場或商鋪或基座商鋪,6/1/2010,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2020M006.jpg,,華懋集團,香港伍倫貢學院,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/519515/%E8%8F%AF%E6%87%8B%E9%9B%86%E5%9C%984-57%E5%84%84%E6%B2%BD%E5%BE%A1-%E8%B1%AA%E9%96%80%E4%B8%80%E7%B1%83%E5%AD%90%E8%88%96-%E9%A6%99%E6%B8%AF%E4%BC%8D%E5%80%AB%E8%B2%A2%E5%AD%B8%E9%99%A2%E6%89%BF%E6%8E%A5,2020-09-04,,4/9/2020,黃大仙區,2020,114.1925,22.3309,837880,821315.8
2020R003,飛鳳街45號天虹之家(近九成業權)（45 Fei Fung Street）,大手,"6,532平方呎",3.2億港元,3.2,"30,000平方呎","10,667港元/平方呎","54,216平方呎","5,902港元/平方呎",黃大仙,商住,11/1/1968,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2020R003.jpg,,天虹紡織製衣集團曹誠淵,厚威有限公司,市場消息,https://paper.hket.com/article/2564103/%E9%BB%83%E5%A4%A7%E4%BB%99%E8%88%8A%E6%A8%93%20%E8%B2%A1%E5%9C%983.2%E5%84%84%E6%94%B6%E8%B3%BC,2020-02-14,,14/2/2020,黃大仙區,2020,114.1962,22.3436,838259.4,822725
2019M003,富美街17號一籃子物業（17 Fu Mei street）,大手,,7.52億港元,7.52,"26,595平方呎",,,,黃大仙,商場或商鋪或基座商鋪,1982年,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2019M003.jpg,,領展,基匯資本,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/270393/%E5%8F%88%E8%B3%A3%E5%95%86%E5%A0%B4-%E9%A0%98%E5%B1%95%E4%BB%A5120%E5%84%84%E5%85%83%E5%94%AE12%E5%80%8B%E5%95%86%E5%A0%B4%E4%BA%88%E5%9F%BA%E5%8C%AF%E8%B3%87%E6%9C%AC-%E5%8D%97%E5%8D%80%E4%BD%94%E5%85%A9%E5%80%8B,2019-01-08,"1、2018年12月成交，2019年1月登記；
2、成交物業主要包括橫頭磡邨內一幢3層高商場、一個單層街市、一幢5層高錯層式停車場大廈，以及相關地方及露天泊車位，合共提供290個泊車位。",8/1/2019,黃大仙區,2019,114.1873,22.3411,837340,822447
2019R006,鳴鳳街22-24號 (80%業權)（22-24 Ming Fung Street）,大手,"1,800平方呎",0.9億港元,0.9,,,"16,200平方呎","5,556港元/平方呎",黃大仙,商住,23/3/1964,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2019R006.jpg,,,武夷集團,市場消息,https://www.stheadline.com/article/1099665/%E6%AD%A6%E5%A4%B725%E5%84%84%E6%94%B6%E8%B3%BC%E9%BB%83%E5%A4%A7%E4%BB%99%E8%88%8A%E6%A8%93,2019-03-20,重建呎價根據80%業權價值計算,20/3/2019,黃大仙區,2019,114.197,22.3443,838337.4,822800.7
2019P003,翠竹街8號翠竹花園280個停車位（8 Chui Chuk Street）,大手,,2.19億港元,2.19,,,,,黃大仙,車位或停車場大廈,21/9/1989,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2019P003.jpg,,旭日(蔡氏)集團有限公司,華萬有限公司,土地註冊處,,2019-04-29,每個車位平均作價約78.2萬,29/4/2019,黃大仙區,2019,114.1894,22.3456,837555.5,822944.9
2024R011,聯合道25號全幢（25 Junction Road）,全幢,"1,400平方呎",0.37億港元,0.37,"4,834平方呎","7,654港元/平方呎",,,九龍城,1960年及之前入伙舊樓,23/12/1955,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2024R011.jpg,,,,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/1002801/%E9%84%A7%E6%88%90%E6%B3%A2%E5%AE%B6%E6%97%8F%E4%B9%9D%E9%BE%8D%E5%9F%8E%E8%88%8A%E6%A8%93%E9%8A%80%E4%B8%BB%E7%9B%A43700%E8%90%AC%E6%B2%BD-%E5%85%A7%E5%9C%B0%E5%AE%A2%E6%89%BF%E6%8E%A5-%E4%BD%8E%E6%84%8F%E5%90%91%E5%83%B96%E6%88%90,2024-03-21,銀主盤,21/3/2024,九龍城區,2024,114.187,22.3316,837307.3,821394.2
2024R013,施他佛道13號屋全幢（13 Stafford Road）,全幢,"5,166平方呎",1.38億港元,1.38,"3,804平方呎(實用)","36,356港元/平方呎(實用)",,,九龍塘,住宅,26/5/2011,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2024R013.jpg,,,東成鮮果國際有限公司,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/1003270/%E4%B9%9D%E9%BE%8D%E5%A1%98%E6%96%BD%E4%BB%96%E4%BD%9B%E9%81%93%E7%8D%A8%E7%AB%8B%E5%B1%8B1-38%E5%84%84%E6%B2%BD-%E7%94%9F%E6%9E%9C%E5%85%AC%E5%8F%B8%E6%89%BF%E6%8E%A5-%E4%B8%8A%E6%89%8B%E5%8B%81%E8%9D%955200%E8%90%AC,2024-03-23,,23/3/2024,九龍城區,2024,114.1778,22.3313,836362.2,821365.8
2023M006,沐寧街2號啟德1號(I)商業部份連商用車位（2 Muk Ning Street）,大手,,3.3億港元,3.3,"17,360平方呎",,,,啟德,商場或商鋪或基座商鋪,22/6/2017,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2023M006.jpg,,中國海外,建華集團或有關人士,土地註冊處及市場消息,https://hk.on.cc/hk/bkn/cnt/finance/20230406/bkn-20230406173510069-0406_00842_001.html,2023-04-06,市場消息：含24個私家車車位及3個電單車車位。,6/4/2023,九龍城區,2023,114.2007,22.3296,838724.5,821174.6
2023M007,沐寧街8號啟德1號(II)商業部份連商用車位（8 Muk Ning Street）,大手,,3.2億港元,3.2,"17,780平方呎",,,,啟德,商場或商鋪或基座商鋪,19/7/2017,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2023M007.jpg,,中國海外,建華集團或有關人士,土地註冊處及市場消息,https://hk.on.cc/hk/bkn/cnt/finance/20230406/bkn-20230406173510069-0406_00842_001.html,2023-04-06,市場消息：含26個私家車車位及3個電單車車位。,6/4/2023,九龍城區,2023,114.2003,22.3292,838680.8,821127.4
